Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
210			1407	284.2949	2736	284.2955	1159	284.2948		
211			1242	377.2669	2398	377.2669	1028	377.2669		
212			1747	530.5153	3614	530.5150				
213			1083	427.2245			929	427.2226		
214			1684	910.5384	3473	910.5405				
215			871	219.1876	1774	219.1873	764	219.1869		
216			947	461.2708	1900	461.2759	821	461.2741		
217			216	383.7473	585	383.7470	211	383.7465		
218			815	242.1543	1768	242.1544	705	242.1549		
219			815	242.1543	1768	242.1544	753	242.1540		
220			815	242.1543	1659	242.1544	705	242.1549		
221			815	242.1543	1659	242.1544	753	242.1540		
222			343	615.2952	848	615.3006	249	615.2948		
223			280	653.2437			259	653.2432		
224			76	205.1073			80	205.1075		
225	51	745.5673	1346	745.5660	2550	745.5664	1112	745.5658		
226			198	478.3067	552	478.3105				
227			762	149.0234	1510	149.0233	678	149.0236		
228			762	149.0234	1803	149.0237	678	149.0236		
229			1227	363.3106	2293	363.3117	1019	363.3114		
230			1227	363.3106	2293	363.3117	963	363.3115		
231			1227	363.3106	2376	363.3110	1019	363.3114		
232			1227	363.3106	2376	363.3110	963	363.3115		
233			1164	380.3371	2377	380.3373	964	380.3368	754	380.3367
234			1164	380.3371	2296	380.3371	964	380.3368	754	380.3367
235			1228	380.3364	2377	380.3373	964	380.3368	754	380.3367
236			1228	380.3364	2296	380.3371	964	380.3368	754	380.3367
237			242	677.3514	701	677.3451	368	677.3492		
238			1207	468.3889	2304	468.3901	1005	468.3894	756	468.3899
239			1155	468.3897	2304	468.3901	1005	468.3894	756	468.3899
240			146	323.2167	1392	323.2086	133	323.2164		
241			146	323.2167	270	323.2071	133	323.2164		
242			146	323.2167	1322	323.2257	133	323.2164		
243	64	600.4172	1378	600.4188			1143	600.4181		
244			1590	340.3582	3230	340.3578	1334	340.3573		
245			1590	340.3582	3306	340.3571	1334	340.3573		
246			1328	408.3686	2521	408.3686	1108	408.3680	778	408.3692
247			1046	660.4912	2115	660.4918				
248			221	428.2165	291	428.2169	58	428.2150		
249			1493	355.3684	2970	355.3693	1226	355.3684		
250			926	431.2186	1952	431.2182	805	431.2187		
251			926	431.2186	1863	431.2178	805	431.2187		
252			978	431.2181	1952	431.2182	805	431.2187		
253			978	431.2181	1863	431.2178	805	431.2187		
254			232	608.3852	609	608.3860	246	608.3874		
255			1124	767.5351	2257	767.5369				
256			1732	676.6077	3579	676.6103	1439	676.6084		
257			898	367.2382	1808	367.2395	780	367.2382		
258			898	367.2382	1808	367.2395	743	367.2383		
259	176	798.5605	1541	798.5614	3188	798.5645	1363	798.5658	928	798.5678
260			1341	849.6360	2554	849.6388				
261			1694	648.5758	3488	648.5801				
262			1330	282.2796	2528	282.2794	1113	282.2790		
263			534	680.4409	973	680.4434	499	680.4444		
264			285	677.4027			196	677.4059		
265			647	855.3871	1236	855.3819	589	855.3854		
266			1031	492.3250			880	492.3234		
267			648	893.4505	1194	893.4484	592	893.4475		
268			648	893.4505	1134	893.4594				
269			868	405.2098	1948	405.2108	847	405.2109		
270			973	405.2108	1948	405.2108	847	405.2109		
271			931	405.2107	1948	405.2108	847	405.2109		
272			868	405.2098	1870	405.2111	847	405.2109		
273			973	405.2108	1870	405.2111	847	405.2109		
274			931	405.2107	1870	405.2111	847	405.2109		
275			519	969.4633	942	969.4623	480	969.4582		
276					5	216.9349			8	216.9329
277			97	613.2936			78	613.2992		
278			1621	562.5054	3334	562.5049	1372	562.5048		
279			340	605.8849	679	605.8872	313	605.8834		
280			618	927.4909			564	927.4895		
281			547	514.2863	1026	514.2876	483	514.2877		
282			147	324.2188	469	324.2224	134	324.2183		
283			244	765.3601	631	765.3623	200	765.3617		
284			121	310.1869			130	310.1863		
285			481	588.3161			487	588.3216		
286			926	431.2186	1863	431.2178	851	431.2185		
287			978	431.2181	1863	431.2178	851	431.2185		
288			201	504.2672			179	504.2618		
289	41	438.3797	1274	438.3782	2438	438.3787	1070	438.3782	761	438.3795
290			1381	392.3374	2654	392.3382	1144	392.3371		
291			483	646.3296	931	646.3296	430	646.3278		
292			1271	484.4123	2431	484.4146	1054	484.4102		
293			533	643.3301	1002	643.3294	498	643.3281		
294			1039	448.2960	2109	448.2977	896	448.2968		
295			1195	645.4986	2347	645.5010	995	645.4985		
296	214	924.2711	1633	924.2704	3355	924.2718	1378	924.2720		
297					569	237.1697	340	237.1600		
298			1338	804.6055	2551	804.6088	1123	804.6047		
299	17	536.1668							20	536.1667
300					2877	389.9800			825	389.9839
301			726	697.3461			646	697.3449		
302			1079	360.1808	2162	360.1814	921	360.1807		
303			476	428.2507			460	428.2514		
304			459	667.2604			436	667.2603		
