Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
262	171	733.5959	1556	733.5914			1281	733.5910		
263			527	603.3065	995	603.3064	491	603.3060		
264			1450	803.5389	2898	803.5448	1205	803.5467	848	803.5423
265			1464	436.3426	2888	436.3459	1186	436.3421	855	436.3422
266			989	258.1858	1970	258.1857	858	258.1857		
267			1728	328.3573	3569	328.3573	1435	328.3576		
268			258	467.8013	881	467.8030	298	467.7956		
269			1466	450.3412	2891	450.3413	1201	450.3402	840	450.3395
270			1730	670.5611	3574	670.5633	1432	670.5621		
271			1389	619.4263	2678	619.4273	1146	619.4256		
272			1008	395.1256	2020	395.1263	868	395.1264		
273	51	745.5673	1346	745.5660	2550	745.5664	1112	745.5658		
274			647	855.3871	1236	855.3819	589	855.3854		
275			598	130.1590	1142	130.1591	640	130.1586		
276			1520	420.3191	3057	420.3194	1250	420.3197		
277			236	637.2675	688	637.2719	192	637.2699		
278	209	536.1666	1624	536.1661	3329	536.1658				
279	184	874.5700	1567	874.5615	3160	874.5684	1310	874.5719	944	874.5755
280	64	600.4172	1378	600.4188			1143	600.4181		
281	229	684.2047	1705	684.2034	3517	684.2036	1423	684.2036	1014	684.2056
282			501	547.3157	339	547.3207	486	547.3157		
283			1506	327.2539	3025	327.2538	1238	327.2542		
284			1236	422.3187	2383	422.3186	1023	422.3179		
285			1340	848.6316	2542	848.6316	1119	848.6305		
286			1477	474.3797	2929	474.3819	1214	474.3809		
287	23	135.1017	20	135.1017			6	135.1009	21	135.1017
288					2869	451.3357	1188	451.3428	841	451.3468
289			658	804.3854	1338	804.3935	643	804.3862		
290			1721	662.5936	3544	662.5929	1429	662.5930	932	662.5955
291			1273	527.4360	2424	527.4361	1056	527.4353		
292			173	477.3134	519	477.3128	158	477.3123	87	477.3111
293			382	532.2979	843	532.3000	384	532.2973		
294			828	466.3072	1145	466.3155	722	466.3068		
295			355	689.4007	818	689.3993	327	689.4029		
296	136	575.3464			3037	575.3514	1232	575.3479	880	575.3469
297	227	998.2932	1671	998.2879	3446	998.2913				
298			1676	680.4785	3439	680.4793	1397	680.4795	1010	680.4812
299			215	368.2689	1296	368.2640	691	368.2657		
300			781	922.4858	1495	922.4869	671	922.4863		
301	5	372.1033	13	372.1024	26	372.1034				
302			1090	150.0274	2214	150.0277	936	150.0271	622	150.0273
303			447	823.4039	827	823.4025	394	823.4027		
304			69	212.1480	236	212.1484	82	212.1470		
305			596	983.4757	1141	983.4803	551	983.4775		
306			494	898.4533	1051	898.4563	454	898.4471		
307	187	930.5688			3224	930.5630			971	930.5696
308			1469	799.5941	2896	799.5919	1203	799.5895	845	799.5924
309			994	313.2278	1997	313.2288	860	313.2282		
310			43	195.1227	82	195.1229	46	195.1225		
311	150	765.6436	1532	765.6425	2989	765.6451				
312			383	533.2983	746	533.2975	385	533.3005		
313			1543	434.3355	3107	434.3336	1265	434.3361		
314			572	792.3870	1070	792.3872	525	792.3869		
315	153	738.6223	1540	738.6234	3014	738.6252				
316			1288	333.3004	2450	333.3001	1074	333.3002		
317	223	380.3373	1654	380.3372					1006	380.3371
318			963	846.4448	1907	846.4432	838	846.4432		
319			562	470.2606	1056	470.2609	535	470.2597		
320			1244	393.2911	2387	393.2916	1030	393.2922		
321			293	348.2282	639	348.2288	342	348.2289		
322	56	752.5232	1251	752.5240	2403	752.5252	1038	752.5247		
323			1675	663.4522	3452	663.4534	1395	663.4523	1007	663.4542
324			301	412.2184	732	412.2188	346	412.2180		
325			1444	372.3191	2866	372.3161	1182	372.3216		
326			162	311.2081	571	311.2070	131	311.2078		
327			1079	360.1808	2162	360.1814	921	360.1807		
328			223	545.3537	559	545.3532	182	545.3531		
329	225	611.1861	1658	611.1857	3426	611.1851	1390	611.1883		
330			1680	563.4684	3464	563.4674	1406	563.4679		
331			346	653.4110	691	653.4146	321	653.4048		
332			817	577.3748	1654	577.3769	710	577.3763		
333			1111	296.1854	2227	296.1895			633	296.1859
334			296	390.2454	642	390.2496	213	390.2442		
335			878	357.2526	1791	357.2541	773	357.2509		
336			1242	377.2669	2398	377.2669	1028	377.2669		
337			369	363.2405	789	363.2400	343	363.2396		
338			1358	629.5039	2581	629.5052	1130	629.5030		
339			177	521.3378	556	521.3376	163	521.3403		
340	15	226.0972			28	226.0972	26	226.0974		
341			443	783.3298	900	783.3273	416	783.3279		
342			455	582.3678	750	582.3703	426	582.3698		
343			246	767.4878	716	767.4942	274	767.4907		
344			415	866.4220	870	866.4286	419	866.4366		
345			1691	533.4428	3484	533.4436	1415	533.4432		
346			1472	279.1603	2875	279.1593	1193	279.1600	824	279.1591
347			1099	337.2129	2234	337.2134	942	337.2123	637	337.2130
348			760	732.4019	1499	732.4035	670	732.4080		
349			302	413.2222	646	413.2231	347	413.2210		
350			1741	762.2204	3592	762.2210	1447	762.2207		
351			186	281.1967	723	281.1967	148	281.1973		
352	226	612.1839	1659	612.1835	3418	612.1839	1391	612.1842		
353			1470	800.5941	2897	800.5948	1204	800.5951	846	800.5961
354			1277	482.4052	2429	482.4058	1073	482.4053		
355			266	558.8656	670	558.8622	308	558.8617		
356			1075	399.2507	2147	399.2511	915	399.2514		
357			1056	572.4375	2121	572.4381	905	572.4381		
358			114	442.2296	386	442.2289	109	442.2297		
359			646	852.4368	1235	852.4324	599	852.4361		
360			1401	363.2537	2731	363.2533	1157	363.2538		
361			1602	566.4329	3247	566.4333	1345	566.4289		
362			1750	646.5980	3624	646.5986	1453	646.5952		
363			1096	321.1670	2229	321.1677	941	321.1661		
364			315	461.2758	653	461.2758	354	461.2751		
365			265	550.8533	668	550.8464	231	550.8489		
366			325	501.3159	222	501.3113	302	501.3134		
367			1072	485.3888	2127	485.3886	902	485.3887		
368			282	664.3427	695	664.3379	264	664.3403		
369			571	748.3965	1101	748.4021	524	748.3984		
370			70	233.1268	315	233.1275	83	233.1275		
371			520	155.1548	943	155.1543	593	155.1543		
372			327	522.8283	662	522.8346	229	522.8304		
373			72	270.1998	267	270.1899	73	270.2014		
374			996	474.9802	2007	474.9812	862	474.9812	359	474.9812
375			386	568.3502	807	568.3485	364	568.3510		
376			272	593.2440	677	593.2438	240	593.2436		
377			1544	638.4350	3121	638.4339	1263	638.4380		
378			642	701.3709	1191	701.3721	595	701.3724		
379	215	926.2704	1635	926.2701	3357	926.2711	1380	926.2671		
380			1445	388.3424	2867	388.3431	1183	388.3432	876	388.3417
381			1448	437.3406	2889	437.3488			838	437.3470
382			1108	149.0233	2223	149.0235	935	149.0231	625	149.0232
383			483	646.3296	931	646.3296	430	646.3278		
384			401	684.4439	765	684.4446	325	684.4446		
385			1682	580.4932	3466	580.4947	1408	580.4948		
386			1078	344.1582	2161	344.1586	920	344.1576		
387			206	564.3602	597	564.3598	186	564.3600	93	564.3611
388			491	688.3520	935	688.3479	445	688.3465		
389			1457	394.2924	2881	394.2939	1197	394.2983	854	394.2926
390			432	679.4198	764	679.4193	369	679.4177		
391			517	912.4655	982	912.4706	478	912.4655		
392			1284	435.3798	2437	435.3819	1069	435.3805		
393			255	439.7835	649	439.7859	219	439.7827		
394			475	251.1849	907	251.1858	457	251.1852		
395			376	500.8166	800	500.8139	301	500.8154		
396			405	740.4646	821	740.4673	373	740.4693		
397			732	384.2958	1395	384.2962	645	384.2972		
